taxon_no,taxon_rank,taxon_name,parent_no
223910,family,Araeonematidae,62599
112345,family,Eucochlidae,62599
60899,family,Liotiidae,62599
97699,family,Cyclostrematidae,62599
62754,family,Velainellidae,62599
83535,family,Ataphridae,62599
112532,family,Proconulidae,62599
110057,family,Calliostomatidae,62599
70851,family,Khairkhaniidae,7805
119273,class,Tentaculita,7805
138652,order,Microconchida,119273
120135,order,Cornulitida,119273
7430,family,Cornulitidae,120135
119482,subclass,Dacryoconarida,119273
119421,order,Gonionowakiida,8248
119422,family,Gonionowakiidae,119421
119390,order,Nowakiida,8248
119409,family,Undastriatostyliolinidae,119390
119413,family,Peneauiidae,119390
119412,family,Striatostyliolinidae,119390
119392,family,Nowakiidae,119390
119407,family,Crassilinidae,119390
119417,order,Styliolinida,8248
119420,family,Viriatellidae,119417
119418,family,Styliolinidae,119417
119483,family,Styliolitidae,119417
119414,order,Procorniculinida,8248
119415,family,Procorniculinidae,119414
119274,subclass,Chonioconarida,119273
119378,superorder,Lirioconarida,119274
8245,order,Homoctenida,119378
